idx,company,address,tax1,tax2,tax3,website,lat,lng
55,Dioxide Materials,"Boca Raton, FL",Enabling Technologies/Components,Circular Economy,Carbon/CCUS,https://dioxidematerials.com/,,
56,FLO Materials,"Berkeley, CA",Materials,Circular Economy,Environmental Remediation,https://www.flomaterials.co/,,
57,Frost Methane,"Juneau, AK",Generation/Transmission,Chemistry,Environmental Remediation,https://www.frostmethane.com/,,
58,GenH,"Boston, MA",Water/Wave/Hydro,Energy Systems/Management,,http://www.genh.co/,,
59,Huue,"Berkeley, CA",Chemistry,Materials,Environmental Remediation,https://www.huue.bio/,,
60,Imprint Energy,"Alameda, CA",Storage/Batteries,IoT/IIoT,Manufacturing,https://www.imprintenergy.com/,,
61,Intropic Materials,"Oaklad, CA",Circular Economy,Materials,Environmental Remediation,https://www.activate.org/intropic-materials,,
62,Mosaic Materials,"Alameda, CA",Enabling Technologies/Components,Environmental Remediation,,https://mosaicmaterials.com/,,
63,Niron Magnetics,"Minneapolis, MN",Materials,Enabling Technologies/Components,Chemistry,https://www.nironmagnetics.com/,,
64,Noble Thermo,"Alameda, CA",Generation/Transmission,Enabling Technologies/Components,Power Electronics,https://noblethermo.com/,,
65,Quino Energy,"San Leandro, CA",Water/Wave/Hydro,Storage/Batteries,,https://quinoenergy.com/,,
66,Smart Joules,"Delhi, India",Built Environment/Construction,Energy Systems/Management,Energy Efficiency,https://www.smartjoules.co.in/,,
67,Travertine Technologies,"Boulder, CO",Circular Economy,Carbon/CCUS,Chemistry,https://www.travertinetech.com/,,
68,Windscape AI,"Berkeley, CA",Wind,IoT/IIoT,Enabling Technologies/Components,http://www.windscape.ai/,,
69,Repurpose Energy,"Fairfield, CA",Storage/Batteries,Circular Economy,,https://www.repurpose.energy/,,
70,SynapSense (recently aquired by Panduit),"Tinley Park, Illinois",Enabling Technologies/Components,Energy Efficiency,,https://www.panduit.com/,,
71,Gate Five,"Irvine, CA",Environmental Remediation,Circular Economy,Generation/Transmission,https://gate-5.com/,,
72,Hago Energetics,"Camarillo, CA",Hydrogen,Carbon/CCUS,,http://hagoenergetics.com/,,
73,Parthian Energy,"Pasadena, CA",Storage/Batteries,Enabling Technologies/Components,,https://www.parthianenergy.com/,,
74,Recreate Energy,"Irvine, CA",Biofuels/Bioeconomy,Chemistry,Oil and Gas,https://www.recreateenergy.com/,,
75,TAE Technologies,"Foothill Ranch, CA",Storage/Batteries,Nuclear,Chemistry,https://tae.com/,,
76,Thermal Smart,"Los Angeles, CA",Thermal/Geothermal,Energy Efficiency,Materials,https://www.thermal-smart.com/,,
77,Voice Life,"Dubai, United Arab Emirates",Storage/Batteries,Enabling Technologies/Components,,https://voicelife.io/,,
78,Lucidean,"Santa Barbara, CA",Energy Efficiency,Enabling Technologies/Components,,https://www.lucidean-inc.com/,,
79,SorbiForce,"Tucson, AZ",Storage/Batteries,Materials,Circular Economy,https://sorbiforce.com/,,
80,Electric Hydrogen,"San Carlos, CA",Hydrogen,,,https://eh2.com/,,
81,Kevala,"San Francisco, CA",IoT/IIoT,Utility/Grid,,https://www.kevala.com/,,
82,Big Blue Technologies,"Denver, CO",Materials,Thermal/Geothermal,Manufacturing,https://bigbluetec.com/,,
83,Brek Electronics,"Broomfield, CO",Enabling Technologies/Components,Materials,,https://brekelectronics.com/,,
84,Minus Materials,"Boulder, CO",Materials,Enabling Technologies/Components,Carbon/CCUS,https://www.minusmaterials.com/,,
85,New Iridium,"Boulder, CO",Carbon/CCUS,Materials,Manufacturing,https://newiridium.com/,,
86,Otoro Energies,"Boulder, CO",Storage/Batteries,Enabling Technologies/Components,Materials,https://www.otoroenergy.com/,,
87,Rocky Tech,"Boulder, CO",Circular Economy,Materials,,https://www.rockytechs.com/,,
88,Lignolix,"Newark, DE",Biofuels/Bioeconomy,Circular Economy,Materials,https://www.lignolix.com/,,
89,RiKarbon,"Newark, DE",Circular Economy,Materials,Carbon/CCUS,https://rikarbon.com/,,
90,Biome Future,"Hollywood, FL",Water/Wave/Hydro,Chemistry,,https://www.biomefuture.com/,,
91,Integrated Solar Technologies,"Santa Fe, NM",Solar,Enabling Technologies/Components,,https://i-solar-technologies.com/,,
92,Sustainable Lithium Cells Australi (SLCA),"Brisbane, Australia",Storage/Batteries,Circular Economy,Enabling Technologies/Components,https://slbatteries.com.au/,,
93,Airdar Inc.,"Edmonton, Canada",IoT/IIoT,Environmental Remediation,,https://airdar.com/,,
94,Harvest Increase Ag,IA,Chemistry,Circular Economy,Ag/Food-tech,,,
95,Volamet,IA,Chemistry,Circular Economy,Energy Efficiency,,,
